electrolyte_id,generation_method,total_mass,"1,2-dimethoxyethane","1,3-dioxolane",Aluminium Oxide,C1,C2,C3,CsNO3,DEC,diglyme,DMC,DTO,E1,EC,EMC,FEC,L1,Li2S,LiAlO2,LiBF4,LiBOB,LiFSI,LiNO3,LiPF6,LiPO2F2,LiTDI,LiTf,LiTFSI,Lithium Perchlorate,Montmorillonite,PC,PS,S1,S2,S3,SN,Sulfolane,TTE,VC,TMSPi,P2O5,LiDFOB,TFEO,BTFEC,BTFE,AN,LCE
21-20-28,0.0,4.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4778601482668804,0.0,0.0,0.3213784812662793,0.0,0.02971508715688239,0.0,0.0,0.0,0.0,0.053295932678821885,0.0,0.0,0.0,0.0,0.0,0.0,0.11781206171107994,0.0,0.0,0.0,0.0,0.005009016229212584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375
21-20-29,0.0,4.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4776687362307229,0.0,0.0,0.3212497496495093,0.0,0.029703184458241536,0.0,0.0,0.0,0.0,0.05327458441818546,0.0,0.0,0.0,0.0,0.0,0.0,0.11816543160424593,0.0,0.0,0.0,0.0,0.002042860004005608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827586
21-20-32,0.0,4.991,0.0,0.0,0.0,0.010098176718092567,0.0,0.0,0.0,0.0,0.0,0.4778601482668804,0.0,0.0,0.3213784812662793,0.0,0.02971508715688239,0.0,0.0,0.0,0.0,0.053295932678821885,0.0,0.0,0.0,0.0,0.0,0.0,0.11781206171107994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
21-20-33,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.028937875751503004,0.0,0.0,0.0,0.4779559118236472,0.0,0.0,0.3214428857715431,0.0,0.029721042084168335,0.0,0.0,0.0,0.0,0.05330661322645291,0.0,0.0,0.0,0.0,0.0,0.0,0.11763527054108215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836848
21-20-35,0.0,4.989,0.0,0.0,0.0,0.0,0.004970936059330527,0.0,0.0,0.0,0.0,0.4780517137702946,0.0,0.0,0.32150731609540995,0.0,0.02972699939867709,0.0,0.0,0.0,0.0,0.05331729805572259,0.0,0.0,0.0,0.0,0.0,0.0,0.11745840849869713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87365
21-20-37,0.0,4.989,0.0,0.0,0.0,0.0,0.035357787131689716,0.0,0.0,0.0,0.0,0.4780517137702946,0.0,0.0,0.32150731609540995,0.0,0.02972699939867709,0.0,0.0,0.0,0.0,0.05331729805572259,0.0,0.0,0.0,0.0,0.0,0.0,0.11745840849869713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882353
21-20-38,0.0,4.991,0.0,0.0,0.0,0.0,0.03211781206171108,0.0,0.0,0.0,0.0,0.4778601482668804,0.0,0.0,0.3213784812662793,0.0,0.02971508715688239,0.0,0.0,0.0,0.0,0.053095572029653385,0.0,0.0,0.0,0.0,0.0,0.0,0.11801242236024845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878049
21-20-40,0.0,4.991,0.0,0.0,0.0,0.005069124423963134,0.0,0.0,0.0,0.0,0.0,0.4778601482668804,0.0,0.0,0.3213784812662793,0.0,0.02971508715688239,0.0,0.0,0.0,0.0,0.05349629332799039,0.0,0.0,0.0,0.0,0.0,0.0,0.11741134041274294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89011
21-20-41,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.015010020040080159,0.0,0.0,0.0,0.4779559118236472,0.0,0.0,0.3214428857715431,0.0,0.029721042084168335,0.0,0.0,0.0,0.0,0.05330661322645291,0.0,0.0,0.0,0.0,0.0,0.0,0.11763527054108215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859929
21-20-43,0.0,4.991,0.0,0.0,0.0,0.0,0.0,0.004908835904628332,0.0,0.0,0.0,0.4778601482668804,0.0,0.0,0.3213784812662793,0.0,0.02971508715688239,0.0,0.0,0.0,0.0,0.05349629332799039,0.0,0.0,0.0,0.0,0.0,0.0,0.11761170106191145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833075
21-20-44,0.0,4.988,0.0,0.0,0.0,0.0,0.0,0.0019847634322373697,0.0,0.0,0.0,0.4781475541299117,0.0,0.0,0.32157177225340816,0.0,0.02973295910184442,0.0,0.0,0.0,0.0,0.05312750601443464,0.0,0.0,0.0,0.0,0.0,0.0,0.11748195669607055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863014
21-20-46,0.0,4.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47747747747747743,0.0,0.014694694694694695,0.3211211211211211,0.0,0.02969129129129129,0.0,0.0,0.0,0.0,0.05305305305305306,0.0,0.0,0.0,0.0,0.0,0.0,0.11851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878049
21-20-47,0.0,5.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4745324313569439,0.0,0.010206923995224831,0.3191404695582969,0.0,0.02950815758058098,0.0,0.0,0.0,0.0,0.05292479108635098,0.0,0.0,0.0,0.0,0.0,0.0,0.12395543175487465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865262
21-20-48,0.0,4.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47719087635054014,0.0,0.004901960784313725,0.3209283713485394,0.0,0.0296734693877551,0.0,0.0,0.0,0.0,0.05342136854741897,0.0,0.0,0.0,0.0,0.0,0.0,0.11884753901560623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852354
21-20-49,0.0,5.005,0.0,0.0,0.0,0.0,0.0,0.0,0.003096903096903097,0.0,0.0,0.4765234765234765,0.0,0.0,0.3204795204795205,0.0,0.02963196803196803,0.0,0.0,0.0,0.0,0.05314685314685315,0.0,0.0,0.0,0.0,0.0,0.0,0.11708291708291708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882369
21-20-50,0.0,5.017,0.0,0.15945784333266894,0.0,0.0,0.0,0.0,0.0022124775762407812,0.0,0.0,0.31891568666533787,0.0,0.0,0.3197129758820012,0.0,0.029561092286226824,0.0,0.0,0.0,0.0,0.05301973290811242,0.0,0.0,0.0,0.0,0.0,0.0,0.11720151484951165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735927
21-20-53,0.0,4.214,0.0,0.37968675842429994,0.0,0.0,0.0,0.0,0.002349311817750356,0.0,0.0,0.0,0.0,0.0,0.3806359753203607,0.0,0.035194114855244416,0.0,0.0,0.0,0.0,0.06312292358803986,0.0,0.0,0.0,0.0,0.0,0.0,0.13906027527289982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
21-20-57,0.0,4.215,0.3795966785290629,0.0,0.0,0.0,0.0,0.0,0.0023962040332147095,0.0,0.0,0.0,0.0,0.0,0.38054567022538555,0.0,0.03518576512455516,0.0,0.0,0.0,0.0,0.06310794780545671,0.0,0.0,0.0,0.0,0.0,0.0,0.13926453143534995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.850746
21-20-58,0.0,5.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0018946948544076585,0.0,0.0,0.3191065017949741,0.0,0.0,0.31990426804946154,0.0,0.02957877941763063,0.0,0.0,0.0,0.0,0.05305145592341444,0.0,0.0,0.0,0.0,0.0,0.0,0.11687275628240924,0.0,0.0,0.15955325089748704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893617
21-20-59,0.0,5.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0019345831671320304,0.0,0.0,0.23932987634623054,0.0,0.0,0.31990426804946154,0.0,0.02957877941763063,0.0,0.0,0.0,0.0,0.05285201435979258,0.0,0.0,0.0,0.0,0.0,0.0,0.1170721978460311,0.0,0.0,0.23932987634623054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
21-20-60,0.0,5.025,0.0,0.0,0.0,0.0,0.0,0.0,0.003383084577114428,0.0,0.0,0.15920398009950248,0.0,0.0,0.31920398009950246,0.0,0.029514029850746266,0.0,0.0,0.0,0.0,0.051940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.11840796019900496,0.0,0.0,0.31840796019900497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72973
21-20-61,0.0,4.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0023962040332147095,0.0,0.0,0.0,0.0,0.0,0.38054567022538555,0.0,0.03518576512455516,0.0,0.0,0.0,0.0,0.06310794780545671,0.0,0.0,0.0,0.0,0.0,0.0,0.13926453143534995,0.0,0.0,0.3795966785290629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
