FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,LCE (%),LLCE,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
0.33,0.992,0.332,1.347,0.086,0.046,0.04,0.258,0.258,0,0.26,0.26,0,96.75,1.488,Cycle,1,1,50,38
0.332,0.995,0.333,1.353,0.086,0.046,0.04,0.259,0.259,0,0.26,0.26,0,96.82,1.498,Cycle,1,1,50,38
0.331,0.994,0.333,1.35,0.086,0.046,0.04,0.258,0.258,0,0.26,0.26,0,97.24,1.559,Cycle,1,1,50,38
1.17,0.602,1.943,1.885,0.279,0.261,0.018,0.144,0.108,0.036,0.239,0.239,0,98.2,1.745,Cycle,0.5,1,60,58
0.063,0.678,0.093,0.758,0.016,0,0.016,0.171,0.162,0.009,0.252,0.248,0.004,97.7,1.638,Cycle,0.5,1,80,54
0.835,0.809,1.033,1.783,0.183,0,0.183,0.177,0.177,0,0.219,0.219,0,96,1.398,Cycle,0.5,1,90,46
0.155,1,0.155,1.181,0.039,0,0.039,0.253,0.253,0,0.253,0.253,0,86,0.854,Cycle,0.5,0.5,100,36
0.139,0.809,0.172,0.971,0.038,0,0.013,0.222,0.222,0.025,0.274,0.274,0,88,0.921,Cycle,0.5,0.5,100,38
0.174,0.993,0.175,1.195,0.044,0.005,0.039,0.251,0.251,0,0.253,0.253,0,91,1.046,Cycle,0.5,0.5,100,36
0.148,0.817,0.181,0.987,0.041,0.004,0.037,0.225,0.225,0,0.275,0.275,0,95,1.301,Cycle,0.5,0.5,100,15
0.14,0.664,0.211,0.881,0.035,0,0.035,0.164,0.139,0.026,0.247,0.236,0.012,95,1.301,Cycle,0.5,0.5,100,11
0.251,0.845,0.298,1.122,0.065,0.025,0.04,0.219,0.219,0,0.259,0.259,0,95,1.301,Cycle,1,1,100,43
0.382,1.097,0.348,1.552,0.107,0.093,0.014,0.307,0.28,0.027,0.28,0.28,0,96.11,1.41,Cycle,0.25,0.5,100,47
0.402,0.701,0.574,1.521,0.093,0,0.093,0.162,0.1,0.062,0.231,0.2,0.031,96.5,1.456,Cycle,0.5,1,100,24
0.431,1.195,0.36,1.771,0.113,0.087,0.025,0.313,0.262,0.051,0.262,0.262,0,96.76,1.489,Cycle,0.25,0.5,100,47
0.072,0.658,0.109,0.777,0.018,0,0.018,0.165,0.144,0.021,0.251,0.245,0.006,97,1.523,Cycle,0.5,0.5,100,48
0.479,1.292,0.371,1.99,0.118,0.082,0.036,0.318,0.246,0.072,0.246,0.246,0,97.14,1.544,Cycle,0.25,0.5,100,47
0.528,1.389,0.38,2.209,0.123,0.077,0.045,0.323,0.232,0.09,0.232,0.232,0,97.41,1.587,Cycle,0.25,0.5,100,47
0.213,1.175,0.181,1.707,0.049,0,0.049,0.272,0.174,0.099,0.232,0.232,0,97.5,1.602,Cycle,0.5,1,100,52
0.576,1.486,0.388,2.427,0.127,0.073,0.053,0.327,0.22,0.107,0.22,0.22,0,97.65,1.629,Cycle,0.25,0.5,100,47
0.625,1.584,0.395,2.646,0.13,0.07,0.061,0.33,0.209,0.122,0.209,0.209,0,97.67,1.633,Cycle,0.25,0.5,100,47
0.674,1.681,0.401,2.865,0.134,0.066,0.068,0.334,0.199,0.135,0.199,0.199,0,97.74,1.646,Cycle,0.25,0.5,100,47
0.285,0.866,0.329,1.178,0.075,0.035,0.04,0.227,0.227,0,0.262,0.262,0,97.9,1.678,Cycle,1,1,100,43
0.402,0.707,0.569,1.529,0.093,0,0.093,0.163,0.1,0.063,0.231,0.2,0.031,98.5,1.824,Cycle,0.5,1,100,24
0.385,0.769,0.501,1.347,0.088,0,0.088,0.176,0.117,0.059,0.229,0.2,0.029,98.75,1.903,Cycle,1,1.62,100,60
1.162,0.475,2.448,1.842,0.286,0.234,0.053,0.117,0.081,0.036,0.246,0.229,0.018,99,2,Cycle,0.5,1,100,24
0.243,0.225,1.08,0.508,0.068,0,0.068,0.063,0.063,0,0.282,0.282,0,99.2,2.097,Cycle,0.5,1,100,22
